"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"04:46:22.532, 21 kwi 2023","5,0","0,0","524 288 000","462 007 288","10 110","0","35","25"
"04:46:32.532, 21 kwi 2023","5,0","0,0","524 288 000","317 249 016","10 110","0","35","25"
"04:46:42.533, 21 kwi 2023","5,0","0,0","524 288 000","331 715 832","10 110","0","34","24"
"04:46:52.533, 21 kwi 2023","4,9","0,0","524 288 000","346 495 336","10 110","0","33","23"
"04:47:02.534, 21 kwi 2023","4,9","0,0","524 288 000","359 120 728","10 110","0","33","23"
"04:47:12.535, 21 kwi 2023","4,9","0,0","524 288 000","371 697 608","10 110","0","33","23"
"04:47:22.537, 21 kwi 2023","4,9","0,0","524 288 000","390 492 848","10 110","0","33","23"
"04:47:32.537, 21 kwi 2023","4,9","0,0","524 288 000","403 162 792","10 110","0","33","23"
"04:47:42.538, 21 kwi 2023","4,9","0,0","524 288 000","409 457 512","10 110","0","33","23"
"04:47:52.539, 21 kwi 2023","5,2","0,0","524 288 000","449 590 888","10 110","0","68","58"
"04:48:02.541, 21 kwi 2023","5,0","0,0","524 288 000","342 924 152","10 110","0","68","58"
"04:48:12.543, 21 kwi 2023","5,1","0,0","524 288 000","393 368 600","10 110","0","68","58"
"04:48:22.544, 21 kwi 2023","5,0","0,0","524 288 000","443 751 384","10 110","0","34","24"
"04:48:32.544, 21 kwi 2023","5,0","0,0","524 288 000","342 301 368","10 110","0","34","24"
"04:48:42.546, 21 kwi 2023","5,0","0,0","524 288 000","352 713 704","10 110","0","34","24"
"04:48:52.546, 21 kwi 2023","5,0","0,0","524 288 000","381 933 240","10 110","0","34","24"
"04:49:02.546, 21 kwi 2023","5,0","0,0","524 288 000","405 670 680","10 110","0","35","25"
"04:49:12.547, 21 kwi 2023","5,0","0,0","524 288 000","435 190 776","10 110","0","35","25"
"04:49:22.548, 21 kwi 2023","5,0","0,0","524 288 000","447 916 232","10 110","0","35","25"
"04:49:32.548, 21 kwi 2023","5,0","0,0","524 288 000","322 334 552","10 110","0","34","24"
"04:49:42.549, 21 kwi 2023","5,0","0,0","524 288 000","360 487 752","10 110","0","34","24"
"04:49:52.549, 21 kwi 2023","5,1","0,0","524 288 000","387 679 960","10 110","0","34","24"
"04:50:02.550, 21 kwi 2023","5,0","0,0","524 288 000","419 633 256","10 110","0","36","26"
"04:50:12.551, 21 kwi 2023","5,0","0,0","524 288 000","453 625 944","10 110","0","36","26"
"04:50:22.551, 21 kwi 2023","5,1","0,0","524 288 000","340 810 968","10 110","0","36","26"
"04:50:32.551, 21 kwi 2023","5,0","0,0","524 288 000","376 560 912","10 110","0","34","24"
"04:50:42.553, 21 kwi 2023","4,9","0,0","524 288 000","408 079 064","10 110","0","34","24"
"04:50:52.553, 21 kwi 2023","5,1","0,0","524 288 000","443 557 368","10 110","0","34","24"
"04:51:02.553, 21 kwi 2023","5,1","0,0","524 288 000","326 517 240","10 110","0","34","24"
"04:51:12.554, 21 kwi 2023","5,0","0,0","524 288 000","353 707 880","10 110","0","34","24"
"04:51:22.554, 21 kwi 2023","5,0","0,0","524 288 000","379 003 968","10 110","0","34","24"
"04:51:32.555, 21 kwi 2023","5,0","0,0","524 288 000","416 742 872","10 110","0","34","24"
"04:51:42.555, 21 kwi 2023","5,0","0,0","524 288 000","452 801 296","10 110","0","34","24"
"04:51:52.556, 21 kwi 2023","5,1","0,0","524 288 000","335 493 128","10 110","0","34","24"
"04:52:02.556, 21 kwi 2023","5,0","0,0","524 288 000","360 801 024","10 110","0","34","24"
"04:52:12.557, 21 kwi 2023","4,9","0,0","524 288 000","392 366 968","10 110","0","33","23"
"04:52:22.557, 21 kwi 2023","4,9","0,0","524 288 000","421 990 368","10 110","0","34","24"
"04:52:32.558, 21 kwi 2023","5,0","0,0","524 288 000","461 941 432","10 110","0","34","24"
"04:52:42.559, 21 kwi 2023","5,0","0,0","524 288 000","340 591 960","10 110","0","34","24"
